# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Extracted from the official PDF. 2649 entries. Example sentences deliberately EXCLUDED (copyright);
# only factual lemma data is kept (headword, article, plural, Partizip II, auxiliary) + an English gloss.
# Conventions:  N = Nomen (article + plural, reconstructed from the list's umlaut markers)
#               V = Verb  (partizip_2 + hilfsverb = haben/sein)
#               X = adjective / adverb / particle / phrase
# STATUS: grammar 100% complete for all 2649. English meanings authored so far: 207/2649 (alphabetical; A done).
#         Empty 'english' = still needs a gloss. 'index' is the stable key — author meanings against it.
index	pos	article	word	plural	partizip_2	hilfsverb	english
767	V		fließen		geflossen	sein	
768	X		fließend				
769	N	der	Flug	Flüge			
770	N	der	Flughafen	Flughäfen			
771	N	das	Flugzeug	Flugzeuge			
772	N	der	Flur	Flure			
773	N	der	Fluss	Flüsse			
774	N	die	Flüssigkeit	Flüssigkeiten			
775	V		folgen		gefolgt	sein	
776	N	die	Folge	Folgen			
777	X		folgend				
778	V		fordern		gefordert	haben	
779	N	die	Forderung	Forderungen			
780	V		fördern		gefördert	haben	
781	N	die	Förderung	Förderungen			
782	N	die	Form	Formen			
783	N	das	Formular	Formulare			
784	N	die	Fortbildung	Fortbildungen			
785	N	der	Fortschritt	Fortschritte			
786	V		fortsetzen		fortgesetzt	haben	
787	N	die	Fortsetzung	Fortsetzungen			
788	V		fotografieren		fotografiert	haben	
789	N	das	Foto	Fotos			
790	N	der	Fotoapparat	Fotoapparate			
791	N	die	Fotografie	Fotografien			
792	V		fragen		gefragt	haben	
793	N	die	Frage	Fragen			
794	N	die	Frau	Frauen			
795	X		frech				
796	X		frei				
797	N	die	Freiheit				
798	N	die	Freizeit				
799	X		freiwillig				
800	X		fremd				
801	N	die	Fremdsprache	Fremdsprachen			
802	V		fressen		gefressen	haben	
803	V		sich freuen		sich gefreut	haben	
804	N	die	Freude				
805	N	der	Freund	Freunde			
806	X		freundlich				
807	N	die	Freundschaft	Freundschaften			
808	V		frieren		gefroren	haben	
809	X		frisch				
810	N	der	Friseur	Friseure			
811	N	die	Frist	Fristen			
812	X		befristet				
813	X		froh				
814	N	die	Frucht	Fruchte			
815	X		früh				
816	X		früher/früher-				
817	V		frühstücken		gefrühstückt	haben	
818	N	das	Frühstück				
819	V		ühlen		gefühlt	haben	
820	V		führen		geführt	haben	
821	N	der	Führerschein	Führerscheine			
822	N	die	Führung	Führungen			
823	N	das	Fundbüro	Fundbüros			
824	V		funktionieren		funktioniert	haben	
825	X		für				
826	X		furchtbar				
827	N	der	Fuß	Füße			
828	N	der	Fußball	Fußbälle			
829	N	der	Fußgänger	Fußgänger			
830	N	die	Fußgängerzone	Fußgängerzonen			
831	N	die	Gabel	Gabeln			
832	N	der	Gang	Gänge			
833	X		ganz				
834	X		gar				
835	N	die	Garage	Garagen			
836	V		garantieren		garantiert	haben	
837	N	die	Garantie				
838	N	die	Garderobe	Garderoben			
839	N	der	Garten	Gärten			
840	N	das	Gas				
841	N	der	Gast	Gäste			
842	N	die	Gaststätte	Gaststätten			
843	N	das	Gebäude	Gebäude			
844	V		geben		gegeben	haben	
845	N	das	Gebäck				
846	V		geboren werden		geboren worden/ geboren sein	sein	
847	V		gebrauchen		gebraucht	haben	
848	N	die	Gebrauchsanweisung	Gebrauchsanweisungen			
849	N	die	Gebühr	Gebühren			
850	N	die	Geburt	Geburten			
851	N	der	Geburtstag	Geburtstage			
852	N	die	Geduld				
853	X		geehrt				
854	X		geeignet sein				
855	N	die	Gefahr	Gefahren			
856	N	die	Lebensgefahr				
857	X		gefährlich				
858	V		gefallen		gefallen	haben	
859	V		gefallen lassen		gefallen lassen	haben	
860	N	das	Gefängnis	Gefängnisse			
861	N	das	Gefühl	Gefühle			
862	X		gegen				
863	N	die	Gegend	Gegenden			
864	N	der	Gegenstand	Gegenstände			
865	X		gegenüber				
866	N	das	Gehalt	Gehälter			
867	X		geheim				
868	N	das	Geheimnis	Geheimnisse			
869	V		gehen		gegangen	sein	
870	V		gehören		gehört	haben	
871	X		gelb				
872	N	das	Geld				
873	N	das	Taschengeld				
874	N	die	Gelegenheit	Gelegenheiten			
875	V		gelingen		gelungen	sein	
876	V		gelten		gegolten	haben	
877	X		gemeinsam				
878	N	das	Gemüse				
879	X		gemütlich				
880	X		genau				
881	X		genauso				
882	X		genug				
883	N	die	Genehmigung	Genehmigungen			
884	V		genügen		genügt	haben	
885	N	das	Gepäck				
886	X		gerade				
887	X		geradeaus				
888	N	das	Gerät	Geräte			
889	X		gerecht				
890	N	das	Gericht	Gerichte			
891	N	die	Gerichtsverhandlung	Gerichtsverhandlungen			
892	X		gering				
893	X		gern/gerne				
894	X		gesamt-/Gesamt				
895	N	das	Geschäft	Geschäfte			
896	N	die	Geschäftsleute				
897	V		geschehen		geschehen	sein	
898	N	das	Geschenk	Geschenke			
899	N	die	Geschichte	Geschichten			
900	N	das	Geschlecht	Geschlechter			
901	X		geschieden				
902	N	das	Geschirr				
903	N	der	Geschmack				
904	N	die	Geschwindigkeit	Geschwindigkeiten			
905	N	die	Geschwindigkeitsbeschränkung	Geschwindigkeitsbeschränkungen			
906	N	die	Geschwister				
907	N	die	Gesellschaft	Gesellschaften			
908	N	das	Gesetz	Gesetze			
909	N	das	Gesicht	Gesichter			
910	X		gespannt				
911	N	das	Gespräch	Gespräche			
912	X		gestern				
913	X		gesund				
914	N	die	Gesundheit				
915	N	das	Getränk	Getränke			
916	X		getrennt leben				
917	N	die	Gewerkschaft	Gewerkschaften			
918	N	das	Gewicht	Gewichte			
919	V		gewinnen		gewonnen	haben	
920	N	der	Gewinn	Gewinne			
921	N	das	Gewissen				
922	N	das	Gewitter	Gewitter			
923	V		gewöhnen		gewöhnt	sein	
924	X		gewöhnlich				
925	X		gewohnt				
926	N	das	Gewürz	Gewürze			
927	X		gießen				
928	N	das	Gift	Gifte			
929	X		giftig				
930	N	die	Gitarre	Gitarren			
931	N	das	Glas	Gläser			
932	X		glatt				
933	V		glauben		geglaubt	haben	
934	X		gleich				
935	X		gleichfalls				
936	X		gleichberechtigt				
937	X		gleichzeitig				
938	N	das	Gleis	Gleise			
939	N	das	Glück				
940	X		glücklich				
941	N	der	Glückwunsch	Glückwünsche			
942	N	das	Gold				
943	N	der	Gott	Götter			
944	N	das	Gras	Gräser			
945	V		gratulieren		gratuliert	haben	
946	X		gratis				
947	X		grau				
948	V		greifen		gegriffen	haben	
949	N	die	Grenze	Grenzen			
950	V		grillen		gegrillt	haben	
951	N	der	Grill				
952	N	die	Grippe				
953	X		groß				
954	X		Groß-				
955	N	die	Großstadt	Großstädte			
956	N	die	Größe	Größen			
957	X		grün				
958	V		gründen		gegründet	haben	
959	N	der	Grund	Gründe			
960	X		gründlich				
961	N	das	Grundstück	Grundstücke			
962	N	die	Gruppe	Gruppen			
963	V		grüßen		gegrüßt	haben	
964	N	der	Gruß	Grüße			
965	V		gucken		geguckt	haben	
966	X		gültig				
967	X		günstig				
968	X		gut				
969	N	das	Haar	Haare			
970	V		haben		gehabt	haben	
971	N	das	Hackfleisch				
972	N	der	Hafen	Häfen			
973	N	das	Hähnchen	Hähnchen			
974	X		halb				
975	N	die	Halbpension				
976	X		halbtags				
977	N	die	Hälfte	Hälften			
978	N	die	Halle	Hallen			
979	X		hallo				
980	N	der	Hals	Hälse			
981	X		halt				
982	X		haltbar				
983	V		halten		gehalten	haben	
984	N	der	Halt				
985	N	die	Haltestelle	Haltestellen			
986	N	der	Hammer	Hämmer			
987	N	die	Hand	Hände			
988	N	das	Handtuch	Handtücher			
989	V		handeln		gehandelt	haben	
990	N	der	Handel				
991	N	der	Händler	Händler			
992	N	der	Handwerker	Handwerker			
993	N	das	Handy	Handys			
994	V		hängen		gehängt	haben	
995	X		hart				
996	V		hassen		gehasst	haben	
997	X		hässlich				
998	X		häufig				
999	X		Haupt-				
1000	N	die	Hauptstadt	Hauptstädte			
1001	N	der	Hauptbahnhof	Hauptbahnhöfe			
1002	N	das	Haus	Häuser			
1003	N	die	Hausaufgabe	Hausaufgaben			
1004	N	die	Hausfrau				
1005	N	der	Haushalt	Haushalte			
1006	N	der	Hausmeister	Hausmeister			
1007	N	die	Haut				
1008	V		heben		gehoben	haben	
1009	N	das	Heft	Hefte			
1010	N	das	Heim	Heime			
1011	N	die	Heimat				
1012	X		heimlich				
1013	N	das	Heimweh				
1014	V		heiraten		geheiratet	haben	
1015	X		heiß				
1016	V		heißen		geheißen	haben	
1017	V		heizen		geheizt	haben	
1018	N	die	Heizung	Heizungen			
1019	V		helfen		geholfen	haben	
1020	X		hell				
1021	N	das	Hemd	Hemden			
1022	X		her				
1023	X		heraus-				
1024	V		rausfinden		herausgefunden	haben	
1025	N	der	Herd	Herde			
1026	X		herein-				
1027	N	die	Herkunft				
1028	N	das	Herkunftsland	Herkunftsländer			
1029	N	der	Herr	Herren			
1030	V		herstellen		hergestellt	haben	
1031	N	der	Hersteller	Hersteller			
1032	X		herunter-				
1033	V		runterladen		heruntergeladen	haben	
1034	V		runterfahren		heruntergefahren	haben	
1035	N	das	Herz	Herzen			
1036	X		herzlich				
1037	X		heute				
1038	X		hier				
1039	X		hierher				
1040	N	die	Hilfe				
1041	N	der	Himmel				
1042	X		hinten				
1043	X		hinter/hinter				
1044	X		hinterher				
1045	V		hinterlassen		hinterlassen	haben	
1046	X		hinweisen				
1047	X		historisch				
1048	N	der	Hit	Hits			
1049	N	die	Hitze				
1050	N	das	Hobby	Hobbys			
1051	X		hoch				
1052	N	die	Höhe				
1053	X		höchstens				
1054	N	die	Hochzeit	Hochzeiten			
1055	N	der	Hof	Höfe			
1056	N	der	Bauernhof	Bauernhöfe			
1057	V		hoffen		gehofft	haben	
1058	X		hoffentlich				
1059	N	die	Hoffnung	Hoffnungen			
1060	X		höflich				
1061	V		holen		geholt	haben	
1062	N	das	Holz				
1063	N	der	Honig				
1064	V		hören		gehört	haben	
1065	N	die	Hose	Hosen			
1066	N	das	Hotel	Hotels			
1067	X		hübsch				
1068	N	das	Hühnchen	Hühnchen			
1069	N	der	Humor				
1070	N	der	Hund	Hunde			
1071	N	der	Hunger				
1072	X		hungrig				
1073	V		hupen		gehupt	haben	
1074	V		husten		gehustet	haben	
1075	N	der	Husten				
1076	N	der	Hut	Hüte			
1077	N	der	ICE				
1078	X		ideal				
1079	N	die	Idee	Ideen			
1080	X		illegal				
1081	X		immer				
1082	N	der	Import	Importe			
1083	X		in				
1084	V		impfen		geimpft	haben	
1085	N	die	Industrie	Industrien			
1086	N	das	Industriegebiet				
1087	N	die	Infektion	Infektionen			
1088	V		informieren		informiert	haben	
1089	N	die	Information	Informationen			
1090	N	der	Ingenieur	Ingenieure			
1091	N	der	Inhalt	Inhalte			
1092	X		inklusive				
1093	X		innen				
1094	N	die	Innenstadt	Innenstädte			
1095	X		inner-				
1096	X		innerhalb				
1097	N	die	Insel	Inseln			
1098	X		insgesamt				
1099	V		installieren		installiert	haben	
1100	N	das	Institut	Institute			
1101	N	das	Instrument	Instrumente			
1102	V		integrieren		integriert	haben	
1103	N	die	Integration				
1104	N	der	Integrationskurs	Integrationskurse			
1105	X		intelligent				
1106	N	die	Intelligenz				
1107	X		intensiv				
1108	N	der	Intensivkurs	Intensivkurse			
1109	V		interessieren		interessiert	sein	
1110	X		interessant				
1111	N	das	Interesse	Interessen			
1112	X		interkulturell				
1113	X		international				
1114	N	das	Internet				
1115	N	der	Internetanschluss				
1116	N	das	Internetcafé	Internetcafés			
1117	N	das	Interview	Interviews			
1118	X		inzwischen				
1119	X		irgend-				
1120	X		irgendein				
1121	X		irgendwann				
1122	V		irren		geirrt	haben	
1123	V		isolieren		isoliert	haben	
1124	X		ja				
1125	N	die	Jacke	Jacken			
1126	N	die	Jahreskarte	Jahreskarten			
1127	N	der	Jazz				
1128	X		je				
1129	X		je … desto …				
1130	N	die	Jeans				
1131	X		jeder				
1132	X		jederzeit				
1133	X		jedes Mal				
1134	X		jemals				
1135	X		jemand				
1136	X		jetzt				
1137	X		jeweils				
1138	V		jobben		gejobbt	haben	
1139	N	der	Job	Jobs			
1140	V		joggen		gejoggt	sein	
1141	N	der	Journalist	Journalisten			
1142	N	die	Jugend				
1143	N	das	Jugendamt				
1144	N	der	Jugendliche	Jugendlichen			
1145	X		jung				
1146	N	der	Junge	Jungen			
1147	N	die	Kabine	Kabinen			
1148	N	der	Kaffee				
1149	N	der	Kalender	Kalender			
1150	X		kalt				
1151	N	die	Kälte				
1152	N	die	Kamera	Kameras			
1153	V		kämpfen		gekämpft	haben	
1154	N	der	Kampf	Kämpfe			
1155	N	der	Kanal	Kanäle			
1156	N	die	Kanne	Kannen			
1157	N	die	Kantine	Kantinen			
1158	N	das	Kapitel	Kapitel			
1159	X		kaputt				
1160	X		kaputtgehen				
1161	X		kaputtmachen				
1162	N	die	Karriere	Karrieren			
1163	N	die	Karte	Karten			
1164	N	die	Kartoffel	Kartoffeln			
1165	N	der	Käse				
1166	N	die	Kasse	Kassen			
1167	N	der	Kasten	Kästen			
1168	N	der	Katalog	Kataloge			
1169	N	die	Katastrophe	Katastrophen			
1170	N	die	Katze	Katzen			
1171	V		kaufen		gekauft	haben	
1172	N	der	Kauf				
1173	N	der	Käufer	Käufer			
1174	N	das	Kaufhaus	Kaufhäuser			
1175	X		kaum				
1176	X		kein-				
1177	N	der	Keller	Keller			
1178	N	der	Kellner	Kellner			
1179	V		kennen		gekannt	haben	
1180	N	die	Kenntnisse				
1181	V		kennenlernen		kennengelernt	haben	
1182	N	das	Kennzeichen	Kennzeichen			
1183	N	die	Kerze	Kerzen			
1184	N	die	Kette	Ketten			
1185	N	das	Kind	Kinder			
1186	N	der	Kindergarten	Kindergärten			
1187	N	der	Kinderwagen	Kinderwagen			
1188	N	die	Kindheit				
1189	N	die	Kita				
1190	N	das	Kino	Kinos			
1191	N	der	Kiosk	Kioske			
1192	N	die	Kirche	Kirchen			
1193	N	das	Kissen	Kissen			
1194	V		klappen		geklappt	haben	
1195	X		klar				
1196	V		klären		geklärt	haben	
1197	N	die	Klasse	Klassen			
1198	N	die	Klassenarbeit	Klassenarbeiten			
1199	X		klasse				
1200	N	das	Klavier	Klaviere			
1201	V		kleben		geklebt	haben	
1202	N	das	Kleid	Kleider			
1203	N	die	Kleidung				
1204	X		klein				
1205	V		klicken		geklickt	haben	
1206	N	der	Klick	Klick			
1207	N	das	Klima				
1208	N	die	Klimaanlage	Klimaanlagen			
1209	V		klingeln		geklingelt	haben	
1210	N	die	Klingel	Klingeln			
1211	V		klingen		geklungen	haben	
1212	N	die	Klinik	Kliniken			
1213	V		klopfen		geklopft	haben	
1214	N	der	Kloß	Klöße			
1215	X		knapp				
1216	N	die	Kneipe	Kneipen			
1217	N	das	Knie	Knie			
1218	N	der	Knochen	Knochen			
1219	N	der	Knopf	Knöpfe			
1220	N	der	Koch	Köche			
1221	V		kochen		gekocht	haben	
1222	N	der	Koffer	Koffer			
1223	N	der	Kofferraum				
1224	N	der	Kollege	Kollegen			
1225	X		komisch				
1226	V		kommen		gekommen	sein	
1227	N	die	Kommunikation				
1228	X		komplett				
1229	X		kompliziert				
1230	N	der	Kompromiss	Kompromisse			
1231	N	der	König	Könige			
1232	N	die	Konkurrenz				
1233	V		können		gekonnt/… können	haben	
1234	N	das	Konsulat	Konsulate			
1235	N	der	Kontakt	Kontakte			
1236	N	das	Konto	Konten			
1237	N	das	Girokonto	Girokontoen			
1238	X		kontrollieren				
1239	N	die	Kontrolle	Kontrollen			
1240	V		konzentrieren		konzentriert	haben	
1241	N	das	Konzert	Konzerte			
1242	N	der	Kopf	Köpfe			
1243	X		kopieren				
1244	N	die	Kopie	Kopien			
1245	N	der	Körper	Körper			
1246	X		körperlich				
1247	X		korrekt				
1248	V		korrigieren		korrigiert	haben	
1249	N	die	Kosmetik				
1250	V		kosten		gekostet	haben	
1251	N	die	Kosten				
1252	X		kostenlos				
1253	N	das	Kostüm	Kostüme			
1254	N	die	Kraft	Kräfte			
1255	X		kräftig				
1256	N	das	Kraftfahrzeug	Kraftfahrzeuge			
1257	X		krank				
1258	V		jdn. krankschreiben		krankgeschrieben	haben	
1259	V		krankmelden		krankgemeldet	haben	
1260	N	der	Kranke	Kranken			
1261	N	das	Krankenhaus	Krankenhäuser			
1262	N	die	Krankenkasse	Krankenkassen			
1263	N	der	Krankenpfleger	Krankenpfleger			
1264	N	die	Krankenschwester	Krankenschwestern			
1265	N	der	Krankenwagen	Krankenwagen			
1266	N	die	Krankheit	Krankheiten			
1267	N	der	Kredit	Kredite			
1268	N	die	Kreditkarte	Kreditkarten			
1269	N	der	Kreis	Kreise			
1270	N	das	Kreuz	Kreuze			
1271	N	die	Kreuzung	Kreuzungen			
1272	V		kriegen		gekriegt	haben	
1273	X		Kriminal-				
1274	N	die	Kriminalpolizei				
1275	N	der	Krimi	Krimis			
1276	X		kritisieren				
1277	N	die	Kritik	Kritiken			
1278	X		kritisch				
1279	N	die	Küche	Küchen			
1280	N	der	Kuchen	Kuchen			
1281	N	der	Kugelschreiber	Kugelschreiber			
1282	N	der	Kuli				
1283	N	die	Kuh	Kühe			
1284	X		kühl				
1285	N	der	Kühlschrank	Kühlschränke			
1286	N	die	Kultur	Kulturen			
1287	X		kulturell				
1288	V		kümmern		gekümmert	haben	
1289	N	der	Kunde	Kunden			
1290	V		kündigen		gekündigt	haben	
1291	N	die	Kündigung	Kündigungen			
1292	N	die	Kunst	Künste			
1293	N	der	Künstler	Künstler			
1294	X		künstlich				
1295	N	der	Kunststoff	Kunststoffe			
1296	N	der	Kurs	Kurse			
1297	N	der	Kursleiter				
1298	N	die	Kurve	Kurven			
1299	X		kurz				
1300	V		küssen		geküsst	haben	
1301	N	der	Kuss	Küsse			
1302	N	die	Küste	Küsten			
1303	N	das	Labor	Labors			
1304	V		lächeln		gelächelt	haben	
1305	V		lachen		gelacht	haben	
1306	N	der	Laden	Läden			
1307	N	die	Lage				
1308	N	das	Lager	Lager			
1309	N	die	Lampe	Lampen			
1310	N	das	Land	Länder			
1311	V		landen		gelandet	sein	
1312	N	die	Landung	Landungen			
1313	N	die	Landwirtschaft				
1314	X		lang				
1315	N	die	Länge				
1316	X		lang(e)				
1317	X		längst				
1318	X		langsam				
1319	X		langweilig				
1320	N	der	Lärm				
1321	V		lassen		gelassen	haben	
1322	N	der	Laster	Laster			
1323	V		laufen		gelaufen	sein	
1324	N	das	Laufwerk	Laufwerke			
1325	N	die	Laune	Launen			
1326	X		laut				
1327	N	der	Lautsprecher	Lautsprecher			
1328	V		leben		gelebt	haben	
1329	N	das	Leben				
1330	N	der	Lebenslauf	Lebensläufe			
1331	N	die	Lebensmittel				
1332	N	das	Leder				
1333	X		ledig				
1334	X		leer				
1335	V		legen		gelegt	haben	
1336	N	die	Lehre				
1337	N	der	Lehrer	Lehrer			
1338	N	der	Lehrling	Lehrlinge			
1339	X		leicht				
1340	V		leidtun		leidgetan	haben	
1341	V		leiden		gelitten	haben	
1342	X		leider				
1343	V		leihen		geliehen	haben	
1344	X		leise				
1345	V		leisten		geleistet	haben	
1346	N	die	Leistung	Leistungen			
1347	V		leiten		geleitet	haben	
1348	N	der	Leiter	Leiter			
1349	N	die	Leitung	Leitungen			
1350	N	die	Leiter	Leitern			
1351	V		lernen		gelernt	haben	
1352	V		lesen		gelesen	haben	
1353	X		letzt-				
1354	N	die	Leute				
1355	N	das	Licht	Lichter			
1356	V		lieben		geliebt	haben	
1357	X		lieb				
1358	N	die	Liebe				
1359	X		Lieblings-				
1360	N	das	Lied	Lieder			
1361	V		liefern		geliefert	haben	
1362	N	die	Lieferung	Lieferungen			
1363	V		liegen		gelegen	sein	
1364	N	der	Lift	Lifte			
1365	N	die	Limonade	Limonaden			
1366	N	die	Linie	Linien			
1367	X		links				
1368	X		link-				
1369	N	die	Lippe	Lippen			
1370	N	die	Liste	Listen			
1371	N	der	LKW	LKWs			
1372	V		loben		gelobt	haben	
1373	N	das	Loch	Löcher			
1374	X		locker				
1375	N	der	Löffel	Löffel			
1376	N	der	Lohn	Löhne			
1377	V		sich lohnen		sich gelohnt	haben	
1378	N	das	Lokal	Lokale			
1379	X		los				
1380	V		losfahren		losgefahren	sein	
1381	V		löschen		gelöscht	haben	
1382	V		lösen		gelöst	haben	
1383	N	die	Lösung	Lösungen			
1384	N	die	Luft				
1385	V		lügen		gelogen	haben	
1386	N	die	Lüge	Lügen			
1387	N	die	Lust				
1388	X		lustig				
1389	V		machen		gemacht	haben	
1390	N	das	Mädchen	Mädchen			
1391	N	der	Magen	Mägen			
1392	X		mager				
1393	N	die	Mahlzeit	Mahlzeiten			
1394	N	die	Mahnung	Mahnungen			
1395	N	der	Makler	Makler			
1396	X		mal				
1397	N	das	Mal	Male			
1398	V		malen		gemalt	haben	
1399	N	der	Maler	Maler			
1400	N	die	Mama	Mamas			
1401	X		man				
1402	X		manch-				
1403	X		manchmal				
1404	N	der	Mann	Männer			
1405	X		männlich				
1406	N	die	Mannschaft	Mannschaften			
1407	N	der	Mantel	Mäntel			
1408	N	das	Märchen	Märchen			
1409	N	die	Margarine				
1410	N	die	Marke	Marken			
1411	V		markieren		markiert	haben	
1412	N	der	Markt	Märkte			
1413	N	die	Marmelade	Marmeladen			
1414	N	die	Maschine	Maschinen			
1415	N	die	Maßnahme	Maßnahmen			
1416	N	das	Material				
1417	N	die	Mathematik				
1418	N	die	Mauer	Mauern			
1419	N	die	Maus	Mäuse			
1420	X		maximal				
1421	N	der	Mechaniker	Mechaniker			
1422	N	das	Medikament	Medikamente			
1423	N	die	Medizin				
1424	N	das	Meer	Meere			
1425	N	das	Mehl				
1426	X		mehrere				
1427	N	die	Mehrheit	Mehrheiten			
1428	N	die	Mehrwertsteuer				
1429	V		meinen		gemeint	haben	
1430	N	die	Meinung	Meinungen			
1431	X		meinetwegen				
1432	X		meist-				
1433	X		meistens (meist)				
1434	N	der	Meister	Meister			
1435	V		melden		gemeldet	haben	
1436	N	die	Meldung	Meldungen			
1437	N	die	Menge	Mengen			
1438	N	der	Mensch	Menschen			
1439	X		menschlich				
1440	V		merken		gemerkt	haben	
1441	X		merkwürdig				
1442	N	die	Messe	Messen			
1443	V		messen		gemessen	haben	
1444	N	das	Messer	Messer			
1445	N	das	Metall	Metalle			
1446	N	die	Methode	Methoden			
1447	N	die	Metzgerei	Metzgereien			
1448	V		mieten		gemietet	haben	
1449	N	die	Miete	Mieten			
1450	N	der	Mieter	Mieter			
1451	N	der	Migrant	Migranten			
1452	N	die	Migration				
1453	N	der	Migrationshintergrund				
1454	N	die	Milch				
1455	X		mild				
1456	N	die	Minderheit	Minderheiten			
1457	X		mindestens				
1458	N	das	Mineralwasser				
1459	V		mischen		gemischt	haben	
1460	V		missverstehen		missverstanden	haben	
1461	N	das	Missverständnis	Missverständnisse			
1462	X		mit				
1463	N	der	Mitarbeiter	Mitarbeiter			
1464	X		miteinander				
1465	N	das	Mitglied	Mitglieder			
1466	N	die	Mitte				
1467	V		mitteilen		mitgeteilt	haben	
1468	N	das	Mittel	Mittel			
1469	X		mitten				
1470	X		mittler-				
1471	N	das	Möbel	Möbel			
1472	X		möbliert				
1473	N	das	Mobiltelefon	Mobiltelefone			
1474	N	die	Mode	Moden			
1475	N	das	Modell	Modelle			
1476	X		modern				
1477	V		mögen		gemocht	haben	
1478	X		möglich				
1479	N	die	Möglichkeit	Möglichkeiten			
1480	X		möglichst				
1481	N	der	Moment	Momente			
1482	N	der	Mond	Monde			
1483	N	der	Monitor	Monitore			
1484	N	der	Motor	Motoren			
1485	N	das	Motorrad	Motorräder			
1486	X		müde				
1487	N	die	Mühe				
1488	N	der	Müll				
1489	N	die	Müllabfuhr				
1490	N	der	Mülleimer	Mülleimer			
1491	N	die	Mülltonne	Mülltonnen			
1492	N	der	Sperrmüll				
1493	N	der	Mund	Münder			
1494	X		mündlich				
1495	N	die	Münze	Münzen			
1496	N	das	Museum	Museen			
1497	N	die	Musik				
1498	N	der	Musiker	Musiker			
1499	N	der	Muskel	Muskeln			
1500	V		müssen		gemusst/... müssen	haben	
1501	N	der	Mut				
1502	X		mutig				
1503	N	die	Mutter	Mütter			
1504	X		nach				
1505	N	der	Nachbar	Nachbarn			
1506	X		nachdem				
1507	V		nachdenken		nachgedacht	haben	
1508	X		nachher				
1509	V		nachholen		nachgeholt	haben	
1510	N	die	Nachricht	Nachrichten			
1511	V		nachschlagen		nachgeschlagen	haben	
1512	N	die	Nachspeise	Nachspeisen			
1513	N	der	Nachteil	Nachteile			
1514	N	der	Nachtisch				
1515	N	die	Nadel	Nadeln			
1516	N	der	Nagel	Nägel			
1517	X		nah(e)				
1518	N	die	Nähe				
1519	X		nächst-				
1520	V		nähen		genäht	haben	
1521	X		naja				
1522	N	der	Name	Namen			
1523	N	der	Familienname	Familiennamen			
1524	N	der	Mädchenname	Mädchennamen			
1525	N	der	Vorname	Vornamen			
1526	X		nämlich				
1527	N	die	Nase	Nasen			
1528	X		nass				
1529	N	die	Natur				
1530	X		natürlich				
1531	N	der	Nebel	Nebel			
1532	X		neblig				
1533	X		neben				
1534	X		nebenan				
1535	X		nebenbei				
1536	N	der	Neffe	Neffen			
1537	X		negativ				
1538	V		nehmen		genommen	haben	
1539	X		nein				
1540	V		nennen		genannt	haben	
1541	N	der	Nerv	Nerven			
1542	X		nervös				
1543	X		nett				
1544	X		netto				
1545	X		neu				
1546	X		neugierig				
1547	X		neulich				
1548	X		nicht				
1549	N	die	Nichte	Nichten			
1550	N	der	Nichtraucher	Nichtraucher			
1551	X		nichts				
1552	X		nie				
1553	X		niedrig				
1554	X		niemand				
1555	X		nirgends				
1556	X		nirgendwo				
1557	X		noch				
1558	X		nochmal				
1559	X		nochmals				
1560	X		normal				
1561	X		normalerweise				
1562	N	der	Norden				
1563	X		nördlich				
1564	X		Not				
1565	N	die	Notaufnahme	Notaufnahmeen			
1566	N	der	Notausgang	Notausgänge			
1567	N	der	Notfall	Notfälle			
1568	N	der	Notruf				
1569	X		notwendig				
1570	N	die	Note	Noten			
1571	X		notieren				
1572	N	die	Notiz	Notizen			
1573	X		nötig				
1574	N	die	Nudel	Nudeln			
1575	N	die	Nummer	Nummern			
1576	X		nun				
1577	X		nur				
1578	V		nutzen		genutzt	haben	
1579	V		nützen		genützt	haben	
1580	X		nützlich				
1581	X		ob				
1582	X		oben				
1583	X		ober-				
1584	N	das	Obst				
1585	X		obwohl				
1586	X		oder				
1587	N	der	Ofen	Öfen			
1588	X		offen				
1589	X		öffentlich				
1590	X		offiziell				
1591	V		öffnen		geöffnet	haben	
1592	X		oft/öfter				
1593	N	das	Obergeschoss				
1594	X		ohne				
1595	N	das	Ohr	Ohren			
1596	X		okay				
1597	X		Öko- (ökologisch)				
1598	N	das	Öl	Öle			
1599	N	die	Oma	Omas			
1600	N	der	Onkel	Onkel			
1601	X		online				
1602	N	der	Opa	Opas			
1603	N	die	Oper	Opern			
1604	V		operieren		operiert	haben	
1605	N	die	Operation	Operationen			
1606	N	das	Opfer	Opfer			
1607	X		optimistisch				
1608	N	die	Orange	Orangen			
1609	N	das	Orchester	Orchester			
1610	X		ordentlich				
1611	V		ordnen		geordnet	haben	
1612	N	der	Ordner	Ordner			
1613	N	die	Ordnung				
1614	V		organisieren		organisiert	haben	
1615	N	die	Organisation	Organisationen			
1616	N	das	Original	Originale			
1617	N	der	Ort	Orte			
1618	N	der	Vorort				
1619	N	der	Wohnort				
1620	X		örtlich				
1621	N	der	Osten				
1622	X		östlich				
1623	X		paar				
1624	N	das	Paar	Paare			
1625	N	das	Päckchen	Päckchen			
1626	V		packen		gepackt	haben	
1627	N	das	Paket	Pakete			
1628	N	die	Panne	Pannen			
1629	N	der	Papa	Papas			
1630	N	das	Papier	Papiere			
1631	X		parallel				
