# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Enriched: English glosses (all 2649) + ONE original A2–B1 German example sentence (de_sentence)
# with an English translation (en_sentence). Example sentences are ORIGINAL (the source's own
# examples were excluded for copyright). freq_rank: 1=most common (opensubtitles de_50k).
# Columns are tab-separated.
index	pos	article	word	plural	partizip_2	hilfsverb	english	de_sentence	en_sentence	freq_rank
539	X		eindeutig				unambiguous; clear; obvious	Die Ergebnisse der Studie sind eindeutig und lassen keinen Zweifel.	The results of the study are clear and leave no doubt.	1119
540	N	der	Eindruck	Eindrücke			impression	Er hat beim Vorstellungsgespräch einen sehr guten Eindruck gemacht.	He made a very good impression at the job interview.	1041
541	X		einerseits				on one hand; on the one side	Einerseits mag ich meinen Job, andererseits ist er oft sehr stressig.	On one hand I like my job, on the other it is often very stressful.	2374
542	X		einfach				simple; simply; easy	Das Rezept ist einfach und dauert nur zwanzig Minuten.	The recipe is simple and only takes twenty minutes.	85
543	N	die	Einfahrt	Einfahrten			entrance (vehicle); driveway	Bitte blockiere nicht die Einfahrt mit deinem Auto.	Please don't block the driveway with your car.	2182
544	V		einfallen		eingefallen	sein	to occur to; to come to mind	Mir ist gerade eine tolle Idee für das Projekt eingefallen.	A great idea for the project just occurred to me.	1309
545	N	der	Einfall	Einfälle			idea; thought; inspiration	Sie hatte einen kreativen Einfall für die Dekoration des Klassenzimmers.	She had a creative idea for the decoration of the classroom.	2230
546	N	der	Einfluss	Einflüsse			influence	Die Familie hat einen großen Einfluss auf die Persönlichkeit eines Kindes.	The family has a great influence on a child's personality.	1223
547	N	die	Einführung	Einführungen			introduction	Die Einführung in das Thema war sehr hilfreich für alle Studenten.	The introduction to the topic was very helpful for all students.	2275
548	N	der	Eingang	Eingänge			entrance; entry	Wir treffen uns um acht Uhr am Eingang des Museums.	We'll meet at eight o'clock at the entrance to the museum.	1493
549	X		einig-				some; a few (pronoun/adjective prefix)	Einige Schüler haben die Prüfung nicht bestanden und müssen sie wiederholen.	Some students did not pass the exam and must retake it.	1303
550	V		einigen		geeinigt	haben	to agree; to reach agreement	Die beiden Parteien konnten sich auf einen Kompromiss einigen.	The two parties were able to agree on a compromise.	870
551	V		einkaufen		eingekauft	haben	to shop; go shopping	Samstags kaufe ich immer im Supermarkt für die ganze Woche ein.	On Saturdays I always do the shopping for the whole week at the supermarket.	1264
552	N	der	Einkauf	Einkäufe			purchase; shopping	Nach dem Einkauf räumte sie alle Lebensmittel in den Kühlschrank.	After the shopping she put all the groceries in the refrigerator.	2383
553	N	das	Einkommen	Einkommen			income; earnings	Mit einem guten Einkommen kann man sich vieles leisten.	With a good income one can afford many things.	2107
554	V		einladen		eingeladen	haben	to invite	Ich lade euch herzlich zu meiner Geburtstagsfeier ein.	I warmly invite you all to my birthday party.	1185
555	N	die	Einladung	Einladungen			invitation	Sie hat eine Einladung zur Hochzeit ihrer besten Freundin bekommen.	She received an invitation to her best friend's wedding.	1132
556	X		einmal				once; one day; sometime	Ich war einmal in Paris und fand die Stadt wunderschön.	I was once in Paris and found the city wonderful.	180
557	V		einnehmen		eingenommen	haben	to take (medicine); to occupy	Der Arzt empfahl ihr, die Tabletten zweimal täglich einzunehmen.	The doctor recommended she take the tablets twice daily.	1703
558	N	die	Einnahme	Einnahmen			intake; revenue	Die Einnahmen des Konzerts kamen einem guten Zweck zugute.	The revenues from the concert benefited a good cause.	2485
559	V		einpacken		eingepackt	haben	to pack up; to wrap	Ich packe meine Koffer am Abend vor der Abreise ein.	I pack my suitcases the evening before departure.	1985
560	V		einrichten		eingerichtet	haben	to furnish; to set up	Sie haben die neue Wohnung sehr geschmackvoll eingerichtet.	They furnished the new apartment in very good taste.	1900
561	N	die	Einrichtung	Einrichtungen			furnishings; facility; institution	Die Einrichtung der Wohnung ist modern und sehr praktisch.	The furnishings of the apartment are modern and very practical.	1634
562	X		einsam				lonely; solitary	Der alte Mann lebte einsam in einem kleinen Haus am Waldrand.	The old man lived alone in a small house at the edge of the forest.	1005
563	V		einschalten		eingeschaltet	haben	to switch on; to turn on	Bitte schalte den Fernseher ein, das Spiel fängt gleich an.	Please turn on the TV, the game is about to start.	1904
564	X		einschließlich				including; inclusive of	Der Preis ist einschließlich Frühstück und kostet achtzig Euro pro Nacht.	The price is inclusive of breakfast and costs eighty euros per night.	1769
565	N	das	Einschreiben	Einschreiben			registered letter; registered mail	Wichtige Dokumente schicke ich immer als Einschreiben.	I always send important documents as registered mail.	2377
566	V		einsetzen		eingesetzt	haben	to use; to deploy; to implement	Die Lehrerin setzt viele verschiedene Methoden im Unterricht ein.	The teacher uses many different methods in class.	1456
567	V		einsteigen		eingestiegen	sein	to get in; to board (transport)	Alle Fahrgäste müssen jetzt einsteigen, der Zug fährt gleich ab.	All passengers must board now, the train is about to depart.	1455
568	V		einstellen		eingestellt	haben	to hire; to adjust; to stop	Die Firma hat letzten Monat fünf neue Mitarbeiter eingestellt.	The company hired five new employees last month.	1351
569	V		eintragen		eingetragen	haben	to enter; to register; to record	Bitte trage deinen Namen und deine Adresse in das Formular ein.	Please enter your name and address in the form.	2286
570	V		eintreten		eingetreten	sein	to enter; to occur; to join	Als er in das Zimmer eintrat, begrüßten ihn alle laut.	When he entered the room, everyone greeted him loudly.	1808
571	N	der	Eintritt				admission; entry; entrance fee	Der Eintritt ins Museum ist für Kinder unter zwölf Jahren kostenlos.	Admission to the museum is free for children under twelve.	1899
572	X		einverstanden				in agreement; agreed; okay	Ich bin damit einverstanden, dass wir das Treffen verschieben.	I agree that we postpone the meeting.	748
573	N	der	Einwohner	Einwohner			resident; inhabitant	Die Stadt hat über eine Million Einwohner.	The city has over a million residents.	1902
574	V		einzahlen		eingezahlt	haben	to deposit money	Ich zahle jeden Monat einen kleinen Betrag auf mein Sparkonto ein.	I deposit a small amount into my savings account every month.	2517
575	X		einzeln				individual; single; separately	Bitte stellt euch einzeln an der Kasse an.	Please line up individually at the checkout.	2086
576	X		Einzel-				individual-; single- (prefix)	Er hat ein Einzelzimmer im Hotel für drei Nächte reserviert.	He reserved a single room at the hotel for three nights.	2584
577	N	die	Einzelheit	Einzelheiten			detail; particular	Sie erklärte den Plan in allen Einzelheiten sehr gründlich.	She explained the plan in all its details very thoroughly.	2512
578	X		einzig-				only; sole (adjective/prefix)	Das war meine einzige Chance und ich habe sie genutzt.	That was my only chance and I took it.	1335
579	V		einziehen		eingezogen	sein	to move in; to collect (money)	Sie ist letzte Woche in ihre neue Wohnung eingezogen.	She moved into her new apartment last week.	1715
580	N	das	Eis				ice; ice cream	Im Sommer essen wir gern Eis an der frischen Luft.	In summer we like to eat ice cream in the fresh air.	723
581	N	das	Eisen				iron (metal)	Das Geländer vor dem Haus ist aus massivem Eisen gemacht.	The railing in front of the house is made of solid iron.	1787
582	N	die	Eisenbahn	Eisenbahnen			railway; railroad	Als Kind liebte er es, mit der Eisenbahn durch das Land zu fahren.	As a child he loved traveling through the country by railway.	2029
583	X		elegant				elegant; stylish	Sie trug ein elegantes Kleid zur Abschlussfeier.	She wore an elegant dress to the graduation ceremony.	1851
584	X		elektrisch				electric; electrical	Das Fahrrad hat einen elektrischen Antrieb und fährt sehr leise.	The bicycle has an electric drive and runs very quietly.	2424
585	X		Elektro-				electro-; electric- (prefix)	Er hat ein Elektroauto gekauft, das er mit Solarenergie lädt.	He bought an electric car that he charges with solar energy.	2585
586	X		elektronisch				electronic	Ich bezahle meine Rechnungen immer elektronisch über das Internet.	I always pay my bills electronically over the internet.	2456
587	N	die	Eltern				parents	Meine Eltern wohnen noch in der Stadt, in der ich aufgewachsen bin.	My parents still live in the city where I grew up.	324
588	N	der	Elternabend	Elternabende			parents' evening; parent-teacher meeting	Beim Elternabend hat die Lehrerin über die Noten gesprochen.	At the parents' evening the teacher spoke about the grades.	2484
589	N	der	Elternbeirat	Elternbeiräte			parents' council; parent association	Der Elternbeirat hat sich für mehr Schulausflüge eingesetzt.	The parents' council advocated for more school trips.	2586
590	N	die	E-Mail	E-Mails			email	Ich habe dir eine E-Mail mit allen Details geschickt.	I sent you an email with all the details.	1607
591	V		empfangen		empfangen	haben	to receive; to welcome	Die Gastgeberin empfängt ihre Gäste herzlich an der Tür.	The hostess warmly welcomes her guests at the door.	1159
592	N	der	Empfang	Empfänge			reception; receipt	Am Empfang des Hotels bekommt man den Zimmerschlüssel.	At the hotel reception you get the room key.	1221
593	V		empfehlen		empfohlen	haben	to recommend	Kannst du mir ein gutes Restaurant in der Nähe empfehlen?	Can you recommend a good restaurant nearby?	1632
594	N	die	Empfehlung	Empfehlungen			recommendation	Auf Empfehlung meiner Ärztin trinke ich mehr Wasser.	On my doctor's recommendation I drink more water.	1909
595	V		enden		geendet	haben	to end, finish	Der Film endet um 22 Uhr.	The film ends at 10 p.m.	935
596	N	das	Ende				end	Am Ende des Buches war ich sehr überrascht.	At the end of the book I was very surprised.	214
597	X		endgültig				final, definitive	Die endgültige Entscheidung trifft der Chef morgen.	The boss will make the final decision tomorrow.	1550
598	X		endlich				finally, at last	Endlich ist der Sommer da und wir können draußen sitzen.	Finally summer is here and we can sit outside.	265
599	N	die	Energie	Energien			energy	Die Kinder haben so viel Energie, dass sie den ganzen Tag spielen.	The children have so much energy that they play all day.	765
600	X		eng				narrow; tight; close	Die Straße in der Altstadt ist sehr eng.	The street in the old town is very narrow.	1243
601	N	der	Enkel	Enkel			grandson; grandchild	Meine Großmutter freut sich immer, wenn ihr Enkel sie besucht.	My grandmother is always happy when her grandson visits her.	1442
602	V		entdecken		entdeckt	haben	to discover	Auf dem Spaziergang haben wir einen schönen kleinen Park entdeckt.	On our walk we discovered a lovely little park.	1515
603	X		entfernt				distant, far away	Das nächste Krankenhaus ist etwa 30 Kilometer entfernt.	The nearest hospital is about 30 kilometres away.	639
604	N	die	Entfernung	Entfernungen			distance	Die Entfernung zwischen den beiden Städten beträgt 80 Kilometer.	The distance between the two cities is 80 kilometres.	1535
605	X		entgegenkommen				to come toward; to meet halfway	Der Verkäufer kam uns beim Preis entgegen und gab uns einen Rabatt.	The salesman met us halfway on the price and gave us a discount.	2390
606	V		enthalten		enthalten	haben	to contain	Dieses Getränk enthält sehr viel Zucker.	This drink contains a lot of sugar.	2002
607	X		entlang				along	Wir sind die ganze Küste entlang spaziert.	We walked along the entire coastline.	754
608	V		entlassen		entlassen	haben	to dismiss; to discharge	Der Arzt hat ihn nach drei Tagen aus dem Krankenhaus entlassen.	The doctor discharged him from hospital after three days.	904
609	V		entscheiden		entschieden	haben	to decide	Wir müssen uns schnell entscheiden, welchen Zug wir nehmen.	We need to decide quickly which train to take.	656
610	N	die	Entscheidung	Entscheidungen			decision	Diese Entscheidung war nicht leicht, aber ich bereue sie nicht.	This decision was not easy, but I do not regret it.	516
611	V		sich entschließen		sich entschlossen	haben	to decide, resolve	Sie hat sich entschlossen, ein neues Studium zu beginnen.	She has decided to start a new degree programme.	2481
612	X		entschlossen sein				to be determined, resolved	Er ist fest entschlossen, seinen Führerschein dieses Jahr zu machen.	He is firmly determined to get his driving licence this year.	1417
613	V		entschuldigen		entschuldigt	haben	to excuse; to apologize	Ich muss mich bei dir entschuldigen, das war mein Fehler.	I need to apologize to you, that was my mistake.	300
614	N	die	Entschuldigung	Entschuldigungen			apology; excuse	Entschuldigung, können Sie mir sagen, wo der Bahnhof ist?	Excuse me, can you tell me where the train station is?	305
615	V		entsorgen		entsorgt	haben	to dispose of, discard	Bitte entsorge den alten Computer beim Wertstoffhof.	Please dispose of the old computer at the recycling centre.	2235
616	X		entspannend				relaxing	Ein heißes Bad am Abend ist sehr entspannend.	A hot bath in the evening is very relaxing.	2455
617	V		entstehen		entstanden	sein	to arise, develop, form	Durch den Sturm ist ein großer Schaden am Dach entstanden.	The storm caused serious damage to the roof.	1866
618	V		enttäuschen		enttäuscht	haben	to disappoint	Das Wetter hat uns sehr enttäuscht, weil wir schwimmen wollten.	The weather really disappointed us because we wanted to swim.	1438
619	N	die	Enttäuschung	Enttäuschungen			disappointment	Seine Absage war eine große Enttäuschung für das ganze Team.	His cancellation was a great disappointment for the whole team.	1893
620	X		entweder ... oder				either ... or	Du kannst entweder zu Fuß gehen oder mit dem Bus fahren.	You can either walk or take the bus.	665
621	V		entwickeln		entwickelt	haben	to develop	Das Unternehmen entwickelt gerade eine neue App für Smartphones.	The company is currently developing a new app for smartphones.	1380
622	N	die	Entwicklung	Entwicklungen			development	Die technische Entwicklung der letzten Jahre war sehr schnell.	Technological development in recent years has been very rapid.	1589
623	N	die	Erde				earth; soil; ground	Die Kinder graben ein Loch in die Erde im Garten.	The children are digging a hole in the soil in the garden.	421
624	N	das	Erdgeschoss	Erdgeschosse			ground floor	Die Küche und das Wohnzimmer befinden sich im Erdgeschoss.	The kitchen and living room are on the ground floor.	2257
625	N	das	Ereignis	Ereignisse			event, occurrence	Die Geburt meiner Tochter war das schönste Ereignis meines Lebens.	The birth of my daughter was the most beautiful event of my life.	1679
626	V		erfahren		erfahren	haben	to learn, find out; to experience	Ich habe gerade erfahren, dass mein Bruder heiraten will.	I have just found out that my brother wants to get married.	446
627	N	die	Erfahrung	Erfahrungen			experience	Sie hat viele Jahre Erfahrung als Krankenpflegerin.	She has many years of experience as a nurse.	842
628	V		erfinden		erfunden	haben	to invent	Wer hat das Telefon erfunden?	Who invented the telephone?	1788
629	N	die	Erfindung	Erfindungen			invention	Das Rad ist eine der wichtigsten Erfindungen der Menschheit.	The wheel is one of the most important inventions of mankind.	1710
630	N	der	Erfolg	Erfolge			success	Harte Arbeit ist oft der Schlüssel zum Erfolg.	Hard work is often the key to success.	725
631	X		erfolgreich				successful	Ihre kleine Bäckerei ist sehr erfolgreich geworden.	Her small bakery has become very successful.	1151
632	V		erfordern		erfordert	haben	to require, demand	Diese Stelle erfordert sehr gute Deutschkenntnisse.	This position requires very good German skills.	2259
633	X		erforderlich				necessary, required	Für die Anmeldung ist ein gültiger Ausweis erforderlich.	A valid ID is required for registration.	2097
634	V		erfüllen		erfüllt	haben	to fulfill, satisfy	Das Hotel hat alle unsere Erwartungen vollständig erfüllt.	The hotel fully met all our expectations.	1220
635	V		ergänzen		ergänzt	haben	to supplement, complete	Kannst du den Satz bitte mit dem fehlenden Wort ergänzen?	Can you please complete the sentence with the missing word?	2442
636	N	das	Ergebnis	Ergebnisse			result, outcome	Das Ergebnis des Tests war besser, als ich erwartet hatte.	The result of the test was better than I had expected.	1300
637	V		erhalten		erhalten	haben	to receive; to preserve	Ich habe heute einen Brief von meiner alten Freundin erhalten.	I received a letter from my old friend today.	676
638	V		erhöhen		erhöht	haben	to raise, increase	Ab nächstem Monat erhöht der Vermieter die Miete um 50 Euro.	Starting next month the landlord is raising the rent by 50 euros.	1622
639	N	die	Erhöhung	Erhöhungen			increase, rise	Die Erhöhung der Benzinpreise macht das Autofahren teurer.	The rise in petrol prices makes driving more expensive.	2409
640	V		sich erholen		sich erholt	haben	to recover, rest, relax	Nach der langen Arbeitswoche erhole ich mich am Wochenende.	After the long working week I relax at the weekend.	1723
641	N	die	Erholung	Erholungen			rest, relaxation, recovery	Ein Urlaub am Meer bringt mir die nötige Erholung.	A holiday by the sea gives me the rest I need.	2237
642	V		erinnern		erinnert	haben	to remind; to remember	Kannst du mich morgen früh an den Termin erinnern?	Can you remind me about the appointment tomorrow morning?	378
643	N	die	Erinnerung	Erinnerungen			memory; reminder	Dieses alte Foto weckt schöne Erinnerungen an meine Kindheit.	This old photo brings back happy memories of my childhood.	901
644	V		sich erkälten		sich erkältet	haben	to catch a cold	Zieh eine Jacke an, sonst erkältest du dich!	Put on a jacket, otherwise you will catch a cold!	2387
645	X		erkältet sein				to have a cold	Ich bin seit gestern erkältet und bleibe heute zu Hause.	I have had a cold since yesterday and am staying home today.	2168
646	V		erkennen		erkannt	haben	to recognize, identify	Ich habe meinen alten Schulfreund kaum erkannt.	I hardly recognised my old school friend.	693
647	V		erklären		erklärt	haben	to explain	Die Lehrerin erklärt den Kindern die neue Grammatikregel.	The teacher explains the new grammar rule to the children.	402
648	N	die	Erklärung	Erklärungen			explanation	Für die verspätete Lieferung gab es keine gute Erklärung.	There was no good explanation for the delayed delivery.	915
649	V		erkundigen		erkundigt	haben	to inquire, ask	Ich habe mich beim Arzt nach den Testergebnissen erkundigt.	I inquired at the doctor's about the test results.	2290
650	V		erlauben		erlaubt	haben	to allow, permit	Die Eltern erlauben ihrem Kind nicht, so lange aufzubleiben.	The parents do not allow their child to stay up so late.	967
651	N	die	Erlaubnis				permission	Ohne Erlaubnis darf man das Gebäude nicht betreten.	You may not enter the building without permission.	1017
652	V		erleben		erlebt	haben	to experience, live through	Wir haben auf unserer Reise viele schöne Dinge erlebt.	We experienced many wonderful things on our trip.	1061
653	N	das	Erlebnis	Erlebnisse			experience, adventure	Das Konzert war ein unvergessliches Erlebnis für mich.	The concert was an unforgettable experience for me.	2031
654	V		erledigen		erledigt	haben	to take care of, deal with	Ich muss heute noch ein paar Besorgungen erledigen.	I still have a few errands to take care of today.	640
655	V		erleichtern		erleichtert	haben	to make easier, relieve	Eine gute Karte erleichtert die Orientierung in einer neuen Stadt.	A good map makes it easier to find your way in a new city.	2131
656	N	die	Ermäßigung	Ermäßigungen			discount, reduction	Kinder unter 12 Jahren bekommen eine Ermäßigung auf den Eintrittspreis.	Children under 12 get a discount on the entrance fee.	2587
657	V		ernähren		ernährt	haben	to feed, nourish	Sie ernährt sich gesund und isst viel Gemüse.	She eats healthily and has a lot of vegetables.	1768
658	N	die	Ernährung				nutrition, diet	Eine ausgewogene Ernährung ist wichtig für die Gesundheit.	A balanced diet is important for good health.	2227
659	X		ernst				serious, earnest	Das ist eine ernste Angelegenheit und kein Spaß.	This is a serious matter and no joke.	290
660	V		eröffnen		eröffnet	haben	to open, inaugurate	Nächste Woche eröffnet in unserer Straße ein neues Café.	A new café is opening in our street next week.	1559
661	N	die	Eröffnung	Eröffnungen			opening	Zur Eröffnung des Museums kamen viele Besucher.	Many visitors came to the opening of the museum.	2053
662	V		erreichen		erreicht	haben	to reach, achieve	Wir haben den Zug gerade noch rechtzeitig erreicht.	We just managed to reach the train in time.	610
663	N	der	Ersatz				substitute, replacement	Als Ersatz für Butter können Sie auch Margarine verwenden.	You can also use margarine as a substitute for butter.	1651
664	N	das	Ersatzteil	Ersatzteile			spare part	Das Ersatzteil für mein Auto muss erst bestellt werden.	The spare part for my car has to be ordered first.	2542
665	X		erschöpft				exhausted, worn out	Nach der langen Wanderung waren wir alle völlig erschöpft.	After the long hike we were all completely exhausted.	1362
666	V		erschrecken		erschreckt	haben	to frighten, startle	Der laute Knall hat mich sehr erschreckt.	The loud bang startled me a great deal.	1518
667	V		ersetzen		ersetzt	haben	to replace, substitute	Das alte Sofa soll durch ein neues ersetzt werden.	The old sofa is to be replaced by a new one.	1410
668	X		erst				first; only then	Erst wenn alle da sind, fangen wir mit dem Essen an.	We will only start eating once everyone has arrived.	158
669	X		erst				just; not until; only	Er ist erst gestern aus dem Urlaub zurückgekommen.	He only got back from his holiday yesterday.	159
670	V		erstellen		erstellt	haben	to create, produce	Bitte erstelle einen kurzen Bericht über das Projekt.	Please create a short report about the project.	2003
671	N	der	Erwachsene	Erwachsenen			adult	Der Film ist nur für Erwachsene ab 18 Jahren geeignet.	The film is only suitable for adults aged 18 and over.	1381
672	V		erwarten		erwartet	haben	to expect; to await	Ich erwarte meinen Bruder heute Abend zum Abendessen.	I am expecting my brother for dinner this evening.	602
673	V		erzählen		erzählt	haben	to tell, narrate	Meine Oma erzählt uns abends manchmal alte Geschichten.	My grandmother sometimes tells us old stories in the evening.	299
674	V		erziehen		erzogen	haben	to raise, bring up; to educate	Es ist wichtig, Kinder zu verantwortungsvollen Menschen zu erziehen.	It is important to raise children to be responsible people.	2114
675	N	die	Erziehung				upbringing; education	Eine liebevolle Erziehung legt den Grundstein für das spätere Leben.	A loving upbringing lays the foundation for later life.	1869
676	X		es				it	Es ist heute kalt, deshalb ziehe ich eine Jacke an.	It is cold today, so I am putting on a jacket.	2
677	V		essen		gegessen	haben	to eat	Wir essen jeden Abend gemeinsam am Tisch.	We eat together at the table every evening.	148
678	N	das	Essen	Essen			food; meal	Das Essen in diesem Restaurant schmeckt sehr lecker.	The food in this restaurant tastes very good.	149
679	N	der	Essig				vinegar	Ich gebe etwas Essig in den Salat, damit er besser schmeckt.	I add a little vinegar to the salad to make it taste better.	2304
680	X		etwa				about, approximately; for example	Die Fahrt dauert etwa zwei Stunden.	The journey takes about two hours.	266
681	X		etwas				something; some; a little	Möchtest du etwas trinken, Tee oder Kaffee?	Would you like something to drink, tea or coffee?	53
682	X		eventuell				possibly, perhaps	Ich komme eventuell etwas später, weil ich noch arbeiten muss.	I may come a little later because I still have to work.	1545
683	X		ewig				eternal; forever	Sie haben sich ewig lange nicht gesehen.	They had not seen each other for ages.	628
684	N	der	Experte	Experten			expert	Ein Experte erklärte uns die neuen Regeln.	An expert explained the new rules to us.	1636
685	N	der	Export	Exporte			export	Der Export von Autos ist ein wichtiger Teil der deutschen Wirtschaft.	The export of cars is an important part of the German economy.	2524
686	X		extra				extra; specially; on purpose	Er hat die Flasche extra für dich kalt gestellt.	He put the bottle in the fridge specially for you.	1039
687	X		extrem				extreme; extremely	Der Sommer war dieses Jahr extrem heiß.	This year the summer was extremely hot.	1254
688	N	die	Fabrik	Fabriken			factory	Mein Vater arbeitet seit zwanzig Jahren in dieser Fabrik.	My father has worked in this factory for twenty years.	1279
689	N	das	Fach	Fächer			subject; compartment	Mein liebstes Fach in der Schule war immer Mathematik.	My favourite subject at school was always mathematics.	1932
690	N	der	Fachmann				specialist, expert	Für diese Reparatur brauchen wir einen Fachmann.	We need a specialist for this repair.	2336
691	N	die	Fachleute				specialists, experts	Fachleute empfehlen, das Dach vor dem Winter zu prüfen.	Experts recommend having the roof inspected before winter.	2534
692	N	die	Fähre	Fähren			ferry	Wir haben die Insel mit der Fähre erreicht.	We reached the island by ferry.	1975
693	V		fahren		gefahren	haben/sein	to drive; to travel	Wir fahren jedes Jahr im Sommer ans Meer.	We travel to the seaside every summer.	209
694	N	die	Fahrbahn	Fahrbahnen			roadway, carriageway	Die Fahrbahn ist nach dem Regen sehr glatt und gefährlich.	The road is very slippery and dangerous after the rain.	2545
695	N	der	Fahrer	Fahrer			driver	Der Fahrer des Busses kannte die Stadt sehr gut.	The bus driver knew the city very well.	973
696	N	die	Fahrkarte	Fahrkarten			ticket (transport)	Ich habe meine Fahrkarte schon online gekauft.	I have already bought my ticket online.	2126
697	N	der	Fahrplan	Fahrpläne			timetable, schedule	Schau doch mal in den Fahrplan, wann der nächste Zug fährt.	Have a look at the timetable to see when the next train leaves.	2472
698	N	das	Fahrrad	Fahrräder			bicycle	Ich fahre bei gutem Wetter gern mit dem Fahrrad zur Arbeit.	When the weather is nice I like cycling to work.	1336
699	N	die	Fahrschule	Fahrschulen			driving school	Sie geht seit drei Monaten in die Fahrschule.	She has been going to driving school for three months.	2556
700	N	das	Fahrzeug	Fahrzeuge			vehicle	Das Fahrzeug parkt mitten auf dem Gehweg.	The vehicle is parked right in the middle of the pavement.	1501
701	X		fair				fair, just	Es ist nicht fair, dass er immer mehr verdient als ich.	It is not fair that he always earns more than me.	873
702	V		fallen		gefallen	sein	to fall	Das Kind ist beim Spielen gefallen und hat geweint.	The child fell while playing and cried.	484
703	N	der	Fall	Fälle			case; fall	In diesem Fall müssen wir sofort handeln.	In this case we need to act immediately.	199
704	X		fällig				due, payable	Die Miete ist am Ersten des Monats fällig.	The rent is due on the first of the month.	1888
705	X		falls				if, in case	Falls du Hilfe brauchst, kannst du mich jederzeit anrufen.	If you need help you can call me at any time.	310
706	X		falsch				wrong, incorrect; false	Leider habe ich die falsche Straße genommen.	Unfortunately I took the wrong street.	336
707	N	die	Familie	Familien			family	Wir verbringen die Feiertage immer mit der ganzen Familie.	We always spend the holidays with the whole family.	175
708	N	der	Familienstand				marital status	Im Formular muss ich meinen Familienstand angeben.	I have to state my marital status on the form.	2588
709	N	der	Fan	Fans			fan	Er ist ein großer Fan der deutschen Nationalmannschaft.	He is a big fan of the German national team.	1284
710	V		fangen		gefangen	haben	to catch	Die Katze hat eine Maus gefangen.	The cat caught a mouse.	519
711	N	die	Fantasie	Fantasien			imagination, fantasy	Die Kinder haben eine reiche Fantasie und erfinden viele Geschichten.	The children have a vivid imagination and make up many stories.	1310
712	N	die	Farbe	Farben			colour; paint	Welche Farbe gefällt dir am besten für das Wohnzimmer?	Which colour do you like best for the living room?	869
713	X		farbig				colourful, coloured	Die Kinder malten bunte, farbige Bilder im Kunstunterricht.	The children painted bright colourful pictures in art class.	2535
714	X		fast				almost, nearly	Ich habe fast alle Aufgaben schon erledigt.	I have already done almost all of the tasks.	228
715	X		faul				lazy; rotten	Am Wochenende war ich etwas faul und habe lange geschlafen.	At the weekend I was a bit lazy and slept in.	1556
716	V		faxen		gefaxt	haben	to fax	Könnten Sie mir bitte das Formular faxen?	Could you please fax me the form?	2353
717	N	das	Fax	Faxe			fax	Ich habe das Fax leider nie erhalten.	Unfortunately I never received the fax.	2248
718	V		fehlen		gefehlt	haben	to be missing; to be absent	In der Suppe fehlt noch etwas Salz.	The soup is still missing a little salt.	981
719	N	der	Fehler	Fehler			mistake, error	Jeder macht manchmal Fehler, das ist ganz normal.	Everyone makes mistakes sometimes, that is perfectly normal.	352
720	V		feiern		gefeiert	haben	to celebrate	Wir feiern heute meinen Geburtstag mit der ganzen Familie.	We are celebrating my birthday with the whole family today.	682
721	N	die	Feier	Feiern			celebration, party	Die Feier zum Schulabschluss war wunderschön.	The graduation celebration was wonderful.	1294
722	N	der	Feierabend				end of work; time after work	Nach dem Feierabend treffe ich mich mit Freunden.	After work I meet up with friends.	1701
723	N	der	Feiertag	Feiertage			public holiday	Am Feiertag bleiben die meisten Geschäfte geschlossen.	Most shops remain closed on public holidays.	2119
724	N	das	Fenster	Fenster			window	Bitte mach das Fenster zu, es zieht so.	Please close the window, there is such a draught.	518
725	N	die	Ferien				holiday, vacation	In den Ferien fahren wir meistens zu meinen Großeltern aufs Land.	During the holidays we usually go to the countryside to visit my grandparents.	1422
726	N	die	Fernbedienung	Fernbedienungen			remote control	Ich finde die Fernbedienung nicht und kann den Sender nicht wechseln.	I cannot find the remote control and cannot change the channel.	2068
727	V		fernsehen		ferngesehen	haben	to watch television	Abends sehe ich manchmal eine Stunde fern, bevor ich schlafe.	In the evenings I sometimes watch television for an hour before I go to sleep.	733
728	N	das	Fernsehen				television	Das Fernsehen zeigt heute Abend einen interessanten Dokumentarfilm.	Television is showing an interesting documentary this evening.	734
729	N	der	Fernseher	Fernseher			television set	Unser neuer Fernseher hat ein sehr großes Bild.	Our new television set has a very large screen.	1084
730	X		fertig				ready, finished, done	Ich bin in zehn Minuten fertig, dann können wir gehen.	I will be ready in ten minutes, then we can go.	184
731	X		fest				firm, solid; tight	Der Knoten muss fest sein, damit er nicht aufgeht.	The knot has to be firm so that it does not come undone.	330
732	N	das	Fest	Feste			festival, celebration	Das Erntedankfest ist ein schönes Fest in unserer Gemeinde.	The harvest festival is a lovely celebration in our community.	331
733	N	die	Festplatte	Festplatten			hard drive	Meine alte Festplatte ist voll, ich brauche eine neue.	My old hard drive is full, I need a new one.	2014
734	V		festhalten		festgehalten	haben	to hold on; to record, note	Halt dich am Geländer fest, die Treppe ist steil.	Hold on to the railing, the stairs are steep.	1099
735	V		festlegen		festgelegt	haben	to set, determine, fix	Wir müssen den Termin für das Treffen bald festlegen.	We need to fix the date for the meeting soon.	2241
736	V		festnehmen		festgenommen	haben	to arrest	Die Polizei hat den Verdächtigen gestern festgenommen.	The police arrested the suspect yesterday.	1708
